"Source:","D:\Projects\raspynq\KiCAD\raspynq.kicad_sch"
"Date:","2022/02/13 15:36:56"
"Tool:","Eeschema (6.0.1)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","93"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"","","IC5","SN74LVC1T45DBVRE4",":SN74LVC1T45DBVRE4_1","LibraryLoader:SOT95P280X145-6N","http://www.ti.com/lit/ds/symlink/sn74lvc1t45.pdf?ts=1588328238734","Translation - Voltage Levels SNGL Bit Dual Supply Bus Transceiver","1.45","Texas Instruments","SN74LVC1T45DBVRE4","595-74LVC1T45DBVRE4","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74LVC1T45DBVRE4?qs=pajgIaoyDUghb8lQHGwgsA%3D%3D"
"","","IC6","SN74LVC1T45DBVRE4",":SN74LVC1T45DBVRE4_1","LibraryLoader:SOT95P280X145-6N","http://www.ti.com/lit/ds/symlink/sn74lvc1t45.pdf?ts=1588328238734","Translation - Voltage Levels SNGL Bit Dual Supply Bus Transceiver","1.45","Texas Instruments","SN74LVC1T45DBVRE4","595-74LVC1T45DBVRE4","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74LVC1T45DBVRE4?qs=pajgIaoyDUghb8lQHGwgsA%3D%3D"
"","","IC7","SN74LV1T125DBVR",":SN74LV1T125DBVR_1","LibraryLoader:SOT95P280X145-5N","http://www.ti.com/general/docs/lit/getliterature.tsp?genericPartNumber=SN74LV1T125&&fileType=pdf","Single Power Supply, Single BUFFER GATE w/ 3-State Output (active low enable)","1.45","Texas Instruments","SN74LV1T125DBVR","595-SN74LV1T125DBVR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74LV1T125DBVR?qs=8sOby8ZxZLHg5BJUGPaBYA%3D%3D"
"","","IC8","SN74LV1T125DBVR",":SN74LV1T125DBVR_1","LibraryLoader:SOT95P280X145-5N","http://www.ti.com/general/docs/lit/getliterature.tsp?genericPartNumber=SN74LV1T125&&fileType=pdf","Single Power Supply, Single BUFFER GATE w/ 3-State Output (active low enable)","1.45","Texas Instruments","SN74LV1T125DBVR","595-SN74LV1T125DBVR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74LV1T125DBVR?qs=8sOby8ZxZLHg5BJUGPaBYA%3D%3D"
"","","IC9","SN74LV1T125DBVR",":SN74LV1T125DBVR_1","LibraryLoader:SOT95P280X145-5N","http://www.ti.com/general/docs/lit/getliterature.tsp?genericPartNumber=SN74LV1T125&&fileType=pdf","Single Power Supply, Single BUFFER GATE w/ 3-State Output (active low enable)","1.45","Texas Instruments","SN74LV1T125DBVR","595-SN74LV1T125DBVR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74LV1T125DBVR?qs=8sOby8ZxZLHg5BJUGPaBYA%3D%3D"
"","","IC10","TXB0104PWRG4","LibraryLoader:TXB0104PWRG4","LibraryLoader:SOP65P640X120-14N","https://datasheet.datasheetarchive.com/originals/distributors/SFDatasheet-6/sf-000131436.pdf","Texas Instruments TXB0104PWRG4, Voltage Level Translator, 3-State, 1.2  3.6 V, 1.65  5.5 V, 14-Pin TSSOP","1.2","Texas Instruments","TXB0104PWRG4","595-TXB0104PWRG4","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TXB0104PWRG4?qs=oFXvjAmG9EjoQ0gyZ%252BZWbg%3D%3D"
"","","IC11","TXB0104PWRG4","LibraryLoader:TXB0104PWRG4","LibraryLoader:SOP65P640X120-14N","https://datasheet.datasheetarchive.com/originals/distributors/SFDatasheet-6/sf-000131436.pdf","Texas Instruments TXB0104PWRG4, Voltage Level Translator, 3-State, 1.2  3.6 V, 1.65  5.5 V, 14-Pin TSSOP","1.2","Texas Instruments","TXB0104PWRG4","595-TXB0104PWRG4","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TXB0104PWRG4?qs=oFXvjAmG9EjoQ0gyZ%252BZWbg%3D%3D"
"","","IC12","SN74LV1T125DBVR","LibraryLoader:SN74LV1T125DBVR","LibraryLoader:SOT95P280X145-5N","http://www.ti.com/general/docs/lit/getliterature.tsp?genericPartNumber=SN74LV1T125&&fileType=pdf","Single Power Supply, Single BUFFER GATE w/ 3-State Output (active low enable)","1.45","Texas Instruments","SN74LV1T125DBVR","595-SN74LV1T125DBVR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74LV1T125DBVR?qs=8sOby8ZxZLHg5BJUGPaBYA%3D%3D"
"","","IC13","TXB0104PWRG4","LibraryLoader:TXB0104PWRG4","LibraryLoader:SOP65P640X120-14N","https://datasheet.datasheetarchive.com/originals/distributors/SFDatasheet-6/sf-000131436.pdf","Texas Instruments TXB0104PWRG4, Voltage Level Translator, 3-State, 1.2  3.6 V, 1.65  5.5 V, 14-Pin TSSOP","1.2","Texas Instruments","TXB0104PWRG4","595-TXB0104PWRG4","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TXB0104PWRG4?qs=oFXvjAmG9EjoQ0gyZ%252BZWbg%3D%3D"
"","","IC14","TXB0104PWRG4","LibraryLoader:TXB0104PWRG4","LibraryLoader:SOP65P640X120-14N","https://datasheet.datasheetarchive.com/originals/distributors/SFDatasheet-6/sf-000131436.pdf","Texas Instruments TXB0104PWRG4, Voltage Level Translator, 3-State, 1.2  3.6 V, 1.65  5.5 V, 14-Pin TSSOP","1.2","Texas Instruments","TXB0104PWRG4","595-TXB0104PWRG4","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TXB0104PWRG4?qs=oFXvjAmG9EjoQ0gyZ%252BZWbg%3D%3D"
